"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","STATUS","TISSUE","ValueType","ORIGINAL_NAME","GENUS","GFNARROWwalker","SPECIES_NAME","TREATMENT","RelCover","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","FuncGroup","FuncPlotCover","DominatingFG","ShrubCover","GraminoidCover","ForbCover","LichenCover","MossCover","PlotDominatingFG","ShrubMean","ForbMean","GraminoidMean","LichenMean","MossMean","AnnualRichness","MeanRichness"
"1","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Dryas octopetala","Dryas","SEVER","Dryas octopetala","CTL",26.6666666666667,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Shrub",29.3333333333333,"None",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"2","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Crustose ","Crustose","LCRUS","Crustose","CTL",14.6666666666667,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"3","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Cladonia ","Cladonia","LFRUT","Cladonia","CTL",6.66666666666667,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"4","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Salix phlebophylla","Salix","SDECI","Salix phlebophylla","CTL",2.66666666666667,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Shrub",29.3333333333333,"None",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"5","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Polytrichum ","Polytrichum","MACRO","Polytrichum","CTL",8,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Moss",8,"None",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"6","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Bryocaulon ","Bryocaulon","LFRUT","Bryocaulon","CTL",8,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"7","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Peltigera ","Peltigera","LFOLI","Peltigera","CTL",1.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"8","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Cetraria islandica","Cetraria","LFRUT","Cetraria islandica","CTL",4,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"9","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Arctoparmelia separata","Arctoparmelia","LFOLI","Arctoparmelia separata","CTL",4,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"10","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Hypogymnia ","Hypogymnia","LFOLI","Hypogymnia","CTL",9.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"11","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Thamnolia ","Thamnolia","LFRUT","Thamnolia","CTL",4,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"12","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Alectoria ochroleuca","Alectoria","LFRUT","Alectoria ochroleuca","CTL",5.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"13","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Sphaerophorus globosus","Sphaerophorus","LFRUT","Sphaerophorus globosus","CTL",1.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"14","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Cetraria nivalis","Cetraria","LFRUT","Cetraria nivalis","CTL",1.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",60,"Lichen-Dominated",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"15","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Antennaria ","Antennaria","FORB","XXXAntennaria:ANWR","CTL",1.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Forb",2.66666666666667,"None",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"16","ANWR:ATIGUN-A:1:1997","ANWR:ATIGUN-A:1","ANWR:ATIGUN-A","ANWR","ATIGUN-A","1",1997,"LIVE","NONWOODY","pf_all_XY","Arnica frigida","Arnica","FORB","Arnica frigida","CTL",1.33333333333333,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Forb",2.66666666666667,"None",29.3333333333333,0,2.66666666666667,60,8,"Lichen-Dominated",32.2625760088447,2.80983969043671,0.497512437810945,57.8869541182974,6.54311774461028,16,16
"17","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Hypogymnia ","Hypogymnia","LFOLI","Hypogymnia","CTL",8.21917808219178,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"18","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Crustose ","Crustose","LCRUS","Crustose","CTL",12.3287671232877,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"19","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Bryocaulon ","Bryocaulon","LFRUT","Bryocaulon","CTL",6.84931506849315,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"20","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Polytrichum ","Polytrichum","MACRO","Polytrichum","CTL",5.47945205479452,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Moss",6.84931506849315,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"21","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Alectoria ochroleuca","Alectoria","LFRUT","Alectoria ochroleuca","CTL",2.73972602739726,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"22","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Cladonia ","Cladonia","LFRUT","Cladonia","CTL",1.36986301369863,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"23","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Dryas octopetala","Dryas","SEVER","Dryas octopetala","CTL",35.6164383561644,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Shrub",41.0958904109589,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"24","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Umbilicaria ","Umbilicaria","LFOLI","Umbilicaria","CTL",1.36986301369863,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"25","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Peltigera ","Peltigera","LFOLI","Peltigera","CTL",4.10958904109589,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"26","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Oxytropis nigrescens","Oxytropis","FORB","Oxytropis nigrescens","CTL",2.73972602739726,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Forb",2.73972602739726,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"27","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Asahinea chrysantha","Asahinea","LFOLI","Asahinea chrysantha","CTL",6.84931506849315,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"28","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Cetraria nivalis","Cetraria","LFRUT","Cetraria nivalis","CTL",1.36986301369863,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"29","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Salix phlebophylla","Salix","SDECI","Salix phlebophylla","CTL",5.47945205479452,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Shrub",41.0958904109589,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
"30","ANWR:ATIGUN-A:2:1997","ANWR:ATIGUN-A:2","ANWR:ATIGUN-A","ANWR","ATIGUN-A","2",1997,"LIVE","NONWOODY","pf_all_XY","Sphaerophorus globosus","Sphaerophorus","LFRUT","Sphaerophorus globosus","CTL",1.36986301369863,"DRY",68.4746405,-149.3521345,1190,"LOW","1","Arctic-Alpine",68.4,-149.3,"_68.4_-149.3","North America-West","Point-framing (XY)","Lichen",49.3150684931507,"None",41.0958904109589,0,2.73972602739726,49.3150684931507,6.84931506849315,"None",48.5852893714716,3.38815839709229,0,42.8151677585865,5.21138447284963,17,16
