"","ID","CH_PrecipMeanSummer","CH_TempMeanSummer","longitude","latitude","biomass","gridcell"
"1",1,94,10.4,-141.854015926,69.589490121,368.106201171875,"_69.5_-141.5"
"2",2,79,9.6,-143.658851926,69.899180121,187.485641479492,"_69.5_-143.5"
"3",3,122,9.3,-143.698781926,69.505790121,291.211883544922,"_69.5_-143.5"
"4",4,76,9.1,-143.427257926,69.957770121,179.74543762207,"_69.5_-143"
"5",5,78,9.7,-145.415771926,69.899180121,257.616485595703,"_69.5_-145"
"6",6,85,10.1,-142.069637926,69.782000121,128.347518920898,"_69.5_-142"
"7",7,78,10,-145.264037926,69.782000121,303.723480224609,"_69.5_-145"
"8",8,89,10.1,-143.107817926,69.748520121,277.657562255859,"_69.5_-143"
"9",9,87,9.9,-146.477909926,69.782000121,186.78157043457,"_69.5_-146"
"10",10,83,8.8,-141.103331926,69.639710121,125.84529876709,"_69.5_-141"
"11",11,69,8.4,-143.035943926,70.041470121,186.98014831543,"_70_-143"
"12",12,69,8.6,-143.491145926,70.033100121,161.848739624023,"_70_-143"
"13",13,98,9.6,-144.792863926,69.748520121,479.638519287109,"_69.5_-144.5"
"14",14,101,9.8,-144.553283926,69.698300121,333.735626220703,"_69.5_-144.5"
"15",15,98,10.5,-143.491145926,69.631340121,398.585021972656,"_69.5_-143"
"16",16,79,9.2,-143.539061926,69.924290121,165.218490600586,"_69.5_-143.5"
"17",17,67,9.9,-144.665087926,69.915920121,401.081420898438,"_69.5_-144.5"
"18",18,79,9.8,-143.810585926,69.890810121,270.226867675781,"_69.5_-143.5"
"19",19,90,10.7,-143.802599926,69.706670121,196.057434082031,"_69.5_-143.5"
"20",20,98,10.2,-144.337661926,69.681560121,302.027191162109,"_69.5_-144"
"21",21,91,10.5,-142.980041926,69.581120121,429.138397216797,"_69.5_-142.5"
"22",22,78,9.7,-145.807085926,69.865700121,331.410186767578,"_69.5_-145.5"
"23",23,74,8.5,-143.075873926,70.016360121,169.685562133789,"_70_-143"
"24",24,68,8.7,-143.706767926,70.041470121,246.990982055664,"_70_-143.5"
"25",25,69,8.7,-143.275523926,70.007990121,104.855804443359,"_70_-143"
"26",26,79,9.7,-144.002249926,69.899180121,235.134475708008,"_69.5_-144"
"27",27,62,8.8,-145.511603926,70.058210121,119.90811920166,"_70_-145.5"
"28",28,101,10.6,-143.427257926,69.572750121,375.091491699219,"_69.5_-143"
"29",29,91,10.6,-144.010235926,69.681560121,394.357604980469,"_69.5_-144"
"30",30,87,10.1,-142.349147926,69.773630121,166.304794311523,"_69.5_-142"
"31",31,87,9.9,-143.291495926,69.807110121,209.690628051758,"_69.5_-143"
