"","study_area","subsite","soil_moisture","lat","long","elevation","ecosystem","exstart","year","treatment","plot","spp","woody","functional_group","genus","species","phenophase","DOY","snowfree_date","data_provider","data_provider_email","plot.n","year_type"
"1","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC01","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"2","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC01","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"3","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC01","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"4","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC01","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"5","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC02","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"6","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC02","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"7","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC02","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"8","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC03","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"9","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC03","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"10","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC03","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"11","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC04","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"12","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC04","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"13","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC04","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"14","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC05","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"15","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC05","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"16","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC06","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"17","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC06","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"18","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC07","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"19","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC07","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"20","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC08","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"21","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC08","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"22","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC08","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"23","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC09","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"24","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC09","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"25","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC09","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"26","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC10","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"27","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC10","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"28","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC10","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"29","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC11","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"30","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC11","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"31","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC11","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"32","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC12","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"33","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC12","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"34","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC12","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"35","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC13","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"36","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC13","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"37","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC13","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"38","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC13","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"39","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC14","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"40","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC14","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"41","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC15","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"42","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC15","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"43","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC15","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"44","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC15","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"45","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC16","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"46","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC16","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"47","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC17","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"48","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC17","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"49","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC17","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"50","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC17","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"51","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC18","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"52","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC18","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"53","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC18","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"54","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC18","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"55","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC19","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"56","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC19","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"57","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC19","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"58","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC20","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"59","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC20","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"60","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC21","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"61","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC21","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"62","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC22","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"63","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC22","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"64","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC22","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"65","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC22","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"66","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC23","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"67","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC23","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"68","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC24","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"69","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"CTL","ADC24","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"70","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE01","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"71","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE01","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"72","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE01","SALPHL","woody","deciduous shrub","Salix","phlebophylla","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"73","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE01","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"74","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE02","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"75","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE02","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"76","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE02","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"77","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE03","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"78","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE03","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"79","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE03","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"80","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE03","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"81","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE04","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"82","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE04","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"83","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE04","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"84","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE05","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"85","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE05","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"86","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE05","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"87","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE05","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"88","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE06","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"89","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE06","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"90","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE07","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"91","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE07","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"92","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE08","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"93","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE08","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"94","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE08","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
