"","study_area","subsite","plot","year","SiteSubsitePlotYear","SiteSubsitePlot","lat","long","elevation","ecosystem","exstart","soil_moisture","treatment","mean.doy","year_index"
"1","Atqasuk","Dry Heath","ADC01",1998,"Atqasuk : Dry Heath : ADC01 : 1998","Atqasuk : Dry Heath : ADC01",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.8,"5"
"2","Atqasuk","Dry Heath","ADC02",1998,"Atqasuk : Dry Heath : ADC02 : 1998","Atqasuk : Dry Heath : ADC02",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",156,"5"
"3","Atqasuk","Dry Heath","ADC03",1998,"Atqasuk : Dry Heath : ADC03 : 1998","Atqasuk : Dry Heath : ADC03",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",156.6,"5"
"4","Atqasuk","Dry Heath","ADC04",1998,"Atqasuk : Dry Heath : ADC04 : 1998","Atqasuk : Dry Heath : ADC04",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.25,"5"
"5","Atqasuk","Dry Heath","ADC05",1998,"Atqasuk : Dry Heath : ADC05 : 1998","Atqasuk : Dry Heath : ADC05",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.75,"5"
"6","Atqasuk","Dry Heath","ADC06",1998,"Atqasuk : Dry Heath : ADC06 : 1998","Atqasuk : Dry Heath : ADC06",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.5,"5"
"7","Atqasuk","Dry Heath","ADC07",1998,"Atqasuk : Dry Heath : ADC07 : 1998","Atqasuk : Dry Heath : ADC07",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",156.5,"5"
"8","Atqasuk","Dry Heath","ADC08",1998,"Atqasuk : Dry Heath : ADC08 : 1998","Atqasuk : Dry Heath : ADC08",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.25,"5"
"9","Atqasuk","Dry Heath","ADC09",1998,"Atqasuk : Dry Heath : ADC09 : 1998","Atqasuk : Dry Heath : ADC09",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.5,"5"
"10","Atqasuk","Dry Heath","ADC10",1998,"Atqasuk : Dry Heath : ADC10 : 1998","Atqasuk : Dry Heath : ADC10",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.6,"5"
"11","Atqasuk","Dry Heath","ADC11",1998,"Atqasuk : Dry Heath : ADC11 : 1998","Atqasuk : Dry Heath : ADC11",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",156,"5"
"12","Atqasuk","Dry Heath","ADC12",1998,"Atqasuk : Dry Heath : ADC12 : 1998","Atqasuk : Dry Heath : ADC12",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.25,"5"
"13","Atqasuk","Dry Heath","ADC13",1998,"Atqasuk : Dry Heath : ADC13 : 1998","Atqasuk : Dry Heath : ADC13",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155,"5"
"14","Atqasuk","Dry Heath","ADC14",1998,"Atqasuk : Dry Heath : ADC14 : 1998","Atqasuk : Dry Heath : ADC14",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155.5,"5"
"15","Atqasuk","Dry Heath","ADC15",1998,"Atqasuk : Dry Heath : ADC15 : 1998","Atqasuk : Dry Heath : ADC15",70.45,-157.4,22,"Low arctic",1996,"dry","CTL",155,"5"
